H-d1,H-d2,H-d3,H-X,H-Y,R-d1,R-d2,R-d3,R-X,R-Y,D,H-AX,H-AY,R-AX,R-AY,AD,ABS (D-AD),Error %,
1.46,3.64,1.94,-0.36,1.23,0.68,1.5,0.92,1.2,1.44,1.57,1,0,2,2,2.24,0.67,29.79,
1.46,3.64,1.94,-0.36,1.23,0.68,1.5,0.92,1.2,1.44,1.57,1,0,2,2,2.24,0.67,29.79,
0.52,3.36,2.11,-0.34,0.8,0.43,1.62,1.18,1.09,1.3,1.51,1,0,2,2,2.24,0.73,32.47,
0.52,3.36,2.11,-0.34,0.8,0.43,1.62,1.18,1.09,1.3,1.51,1,0,2,2,2.24,0.73,32.47,
0.83,1.76,1.64,1.1,1.16,0.43,1.62,1.18,1.09,1.3,0.13,1,0,2,2,2.24,2.11,94.19,
0.83,1.76,1.64,1.1,1.16,0.47,2.64,2.11,0.38,0.8,0.81,1,0,2,2,2.24,1.43,63.78,
0.22,2.24,1.79,0.67,0.98,0.47,2.64,2.11,0.38,0.8,0.34,1,0.3,1.8,2,1.88,1.54,81.9,
0.22,2.24,1.79,0.67,0.98,0.35,3.95,1.64,-1.08,1.07,1.75,1,0.3,1.8,2,1.88,0.13,6.86,
0.75,1.5,2.49,1.22,0.56,0.35,3.95,1.64,-1.08,1.07,2.35,1,0.3,1.8,2,1.88,0.47,25.08,
0.75,1.5,2.49,1.22,0.56,0.35,1.5,1.51,1.15,1.14,0.58,1,0.3,1.8,2,1.88,1.3,69.13,
0.75,1.5,2.49,1.22,0.56,0.35,1.5,1.51,1.15,1.14,0.58,1,0.3,1.8,2,1.88,1.3,69.13,
0.18,1.5,1.79,1.13,0.97,0.35,1.62,1.51,1.08,1.14,0.17,1,0.3,1.8,2,1.88,1.71,90.95,
0.18,1.5,1.79,1.13,0.97,0.35,1.62,1.51,1.08,1.14,0.17,1,0.3,1.8,2,1.88,1.71,90.95,
0.24,1.5,1.18,1.14,1.28,0.43,1.38,1.28,1.21,1.26,0.08,1,0.3,1.8,2,1.88,1.8,95.74,
0.24,1.5,1.18,1.14,1.28,0.43,1.38,1.28,1.21,1.26,0.08,1,0.3,1.8,2,1.88,1.8,95.74,
0.47,2.86,1.94,0.17,0.91,0.68,1.27,1.94,1.31,0.95,1.13,1,0.3,1.8,2,1.88,0.75,39.86,
0.47,2.86,1.94,0.17,0.91,0.68,1.27,1.94,1.31,0.95,1.13,1,0.6,1.6,2,1.52,0.39,25.81,
0.35,2.64,1.94,0.36,0.89,0.32,1.08,1,1.32,1.35,1.06,1,0.6,1.6,2,1.52,0.46,30.41,
0.35,2.64,1.94,0.36,0.89,0.32,1.08,1,1.32,1.35,1.06,1,0.6,1.6,2,1.52,0.46,30.41,
0.91,2.24,1.18,0.8,1.41,0.27,1.08,4.82,1.32,-2.37,3.81,1,0.6,1.6,2,1.52,2.29,150.14,
0.91,2.24,1.18,0.8,1.41,0.27,1.08,4.82,1.32,-2.37,3.81,1,0.6,1.6,2,1.52,2.29,150.14,
0.91,1.5,1.64,1.26,1.19,0.32,1,2.49,1.35,0.49,0.71,1,0.6,1.6,2,1.52,0.81,53.39,
0.91,1.5,1.64,1.26,1.19,0.32,1,2.49,1.35,0.49,0.71,1,0.6,1.6,2,1.52,0.81,53.39,
1.33,1.18,1.64,1.56,1.34,0.29,0.92,1.64,1.37,1.06,0.34,1,0.6,1.6,2,1.52,1.18,77.68,
1.33,1.18,1.64,1.56,1.34,0.29,0.92,1.64,1.37,1.06,0.34,1,0.6,1.6,2,1.52,1.18,77.68,
0.91,2.86,1.09,0.28,1.44,0.29,0.92,1.64,1.37,1.06,1.16,1,0.6,1.6,2,1.52,0.36,23.84,
0.91,2.86,1.09,0.28,1.44,0.35,1,1.28,1.35,1.25,1.1,1,0.9,1.4,2,1.17,0.07,6.02,
0.83,1.62,1.18,1.17,1.38,0.35,1,1.28,1.35,1.25,0.22,1,0.9,1.4,2,1.17,0.95,81.2,
0.83,1.62,1.18,1.17,1.38,0.47,0.92,1.94,1.39,0.91,0.52,1,0.9,1.4,2,1.17,0.65,55.57,
0.91,1.5,0.92,1.26,1.5,0.47,0.92,1.94,1.39,0.91,0.6,1,0.9,1.4,2,1.17,0.57,48.74,
0.91,1.5,0.92,1.26,1.5,0.43,1.18,3.19,1.3,-0.16,1.66,1,0.9,1.4,2,1.17,0.49,41.82,
0.91,1.5,0.92,1.26,1.5,0.43,1.18,3.19,1.3,-0.16,1.66,1,0.9,1.4,2,1.17,0.49,41.82,
1.46,0.92,0.61,1.71,1.79,0.29,1.62,1.94,1.07,0.89,1.11,1,0.9,1.4,2,1.17,0.06,5.17,
1.46,0.92,0.61,1.71,1.79,0.29,1.62,1.94,1.07,0.89,1.11,1,0.9,1.4,2,1.17,0.06,5.17,
1.33,0.85,0.72,1.67,1.71,0.29,1,2.49,1.35,0.48,1.27,1,0.9,1.4,2,1.17,0.1,8.5,
1.33,0.85,0.72,1.67,1.71,0.29,1,2.49,1.35,0.48,1.27,1,0.9,1.4,2,1.17,0.1,8.5,
1.46,1.5,1.28,1.48,1.58,0.32,0.62,3.19,1.45,-0.18,1.76,1,1.2,1.2,2,0.82,0.94,113.43,
1.46,1.5,1.28,1.48,1.58,0.32,0.62,3.19,1.45,-0.18,1.76,1,1.2,1.2,2,0.82,0.94,113.43,
1.46,1.18,1.39,1.63,1.53,0.39,0.62,2.7,1.46,0.31,1.23,1,1.2,1.2,2,0.82,0.41,49.16,
1.46,1.18,1.39,1.63,1.53,0.39,0.62,2.7,1.46,0.31,1.23,1,1.2,1.2,2,0.82,0.41,49.16,
0.57,1.27,1.09,1.28,1.36,0.47,0.57,2.49,1.48,0.51,0.87,1,1.2,1.2,2,0.82,0.05,5.5,
0.57,1.27,1.09,1.28,1.36,0.47,0.57,2.49,1.48,0.51,0.87,1,1.2,1.2,2,0.82,0.05,5.5,
0.83,1.08,1.39,1.42,1.29,0.47,0.57,3.19,1.48,-0.16,1.45,1,1.2,1.2,2,0.82,0.63,75.84,
0.83,1.08,1.39,1.42,1.29,0.47,0.57,3.19,1.48,-0.16,1.45,1,1.2,1.2,2,0.82,0.63,75.84,
0.75,1.18,1.09,1.36,1.4,0.47,0.57,2.7,1.48,0.32,1.08,1,1.2,1.2,2,0.82,0.26,30.97,
0.75,1.18,1.09,1.36,1.4,0.47,0.57,2.7,1.48,0.32,1.08,1,1.2,1.2,2,0.82,0.26,30.97,
0.83,1.5,0.66,1.24,1.54,0.43,0.57,2.11,1.48,0.79,0.79,1,1.5,1,2,0.5,0.29,58,
0.83,1.5,0.66,1.24,1.54,0.43,0.57,2.11,1.48,0.79,0.79,1,1.5,1,2,0.5,0.29,58,
0.75,1.08,0.61,1.4,1.53,0.43,0.57,2.11,1.48,0.79,0.75,1,1.5,1,2,0.5,0.25,50,
0.75,1.08,0.61,1.4,1.53,0.43,0.57,2.94,1.48,0.09,1.44,1,1.5,1,2,0.5,0.94,188,
0.75,1.27,0.92,1.32,1.45,0.43,0.57,2.94,1.48,0.09,1.37,1,1.5,1,2,0.5,0.87,174,
0.75,1.27,0.92,1.32,1.45,0.43,0.62,1.94,1.47,0.9,0.57,1,1.5,1,2,0.5,0.07,14,
0.75,1.27,0.92,1.32,1.45,0.43,0.62,1.94,1.47,0.9,0.57,1,1.5,1,2,0.5,0.07,14,
,,,,,,,,,,,,,,,,39.98,3029.02,Total
,,,,,,,,,,,,,,,,0.754339623,57.15,Average Error %
,,,,,,,,,,,,,,,,,42.85,Average Accuracy %
